brand,domain,profile_url
Lutron,commercial.lutron.com,https://indiadesignid.com/id-exhibit/lutron/
Lutron Electronics,luxury.lutron.com,https://indiadesignid.com/id-exhibit/lutron-electronics/
Luxaddi,luxaddi.com,https://indiadesignid.com/id-exhibit/luxaddi-2/
Madras Makers,madrasmakers.com,https://indiadesignid.com/id-exhibit/madras-makers-2/
MADRAS MAKERS (since 2013),madrasmakers.com,https://indiadesignid.com/id-exhibit/madras-makers-since-2013/
MAGARI Furniture,magari.in,https://indiadesignid.com/id-exhibit/magari-furniture/
Magniflex,magniflexindia.com,https://indiadesignid.com/id-exhibit/magniflex-2/
Magppie,magppie.com,https://indiadesignid.com/id-exhibit/magppie/
Maison Du Luxe,maisonduluxe.in,https://indiadesignid.com/id-exhibit/maison-du-luxe/
Maison Sia,googletagmanager.com,https://indiadesignid.com/id-exhibit/maison-sia/
Makaan,makaanjaipur.com,https://indiadesignid.com/id-exhibit/makaan/
Mana Collective,googletagmanager.com,https://indiadesignid.com/id-exhibit/mana-collective/
Mangrove Collective,mangrovecollective.in,https://indiadesignid.com/id-exhibit/mangrove-collective-2/
MANUHITA,manuhita.com,https://indiadesignid.com/id-exhibit/manuhita/
Masha Art,mashaart.com,https://indiadesignid.com/id-exhibit/masha-art-2/
Material Immaterial Studio,india.materialimmaterial.com,https://indiadesignid.com/id-exhibit/material-immaterial/
MeMeraki,memeraki.com,https://indiadesignid.com/id-exhibit/memeraki-2/
Memuraa,memuraa.com,https://indiadesignid.com/id-exhibit/memuraa/
Mi ikigai by Uurmi Bhatia,miikigai.in,https://indiadesignid.com/id-exhibit/mi-ikigai-by-uurmi-bhatia/
Mikasa Floors & Doors,mikasafloors.com,https://indiadesignid.com/id-exhibit/mikasa-floors/
Milaaya Interiors,milaayaembroideries.com,https://indiadesignid.com/id-exhibit/milaaya-interiors/
Mixx Doors,mixxdoors.com,https://indiadesignid.com/id-exhibit/mixx-doors-2/
Mohh,mohh.com,https://indiadesignid.com/id-exhibit/mohh/
Morii Design,moriidesign.com,https://indiadesignid.com/id-exhibit/morii-design/
Mukul Goyal Designs,mukulgoyal.com,https://indiadesignid.com/id-exhibit/mukul-goyal-designs/
MuseMART,musemart.co.in,https://indiadesignid.com/id-exhibit/musemart/
Nama Home,googletagmanager.com,https://indiadesignid.com/id-exhibit/nama-home-2/
